INFO : 1 | Green        @ 1639313.531
INFO : 0 | Green        @ 1639323.484
INFO : 1 | Red          @ 1639323.484
INFO : 0 | Red          @ 1639333.484
INFO : 1 | Green        @ 1639333.484
INFO : 0 | Green        @ 1639343.5
INFO : 1 | Red          @ 1639343.5
INFO : 0 | Red          @ 1639353.484
INFO : 1 | Green        @ 1639353.484
INFO : 1 | Red          @ 1639363.484
INFO : 0 | Green        @ 1639363.5
INFO : 1 | Green        @ 1639373.375
INFO : 0 | Red          @ 1639373.5
INFO : 0 | Green        @ 1639383.5
INFO : 1 | Red          @ 1639383.5
INFO : 1 | Green        @ 1639393.484
INFO : 0 | Red          @ 1639393.531
INFO : 1 | Red          @ 1639403.484
INFO : 0 | Green        @ 1639403.5
INFO : 1 | Green        @ 1639413.484
INFO : 0 | Red          @ 1639413.5
INFO : 1 | Red          @ 1639423.5
INFO : 0 | Green        @ 1639423.5
INFO : 0 | Red          @ 1639433.484
INFO : 1 | Green        @ 1639433.484
INFO : 0 | Green        @ 1639443.484
INFO : 1 | Red          @ 1639443.5
INFO : 0 | Red          @ 1639453.484
INFO : 1 | Green        @ 1639453.5
INFO : 0 | Green        @ 1639463.515
INFO : 1 | Red          @ 1639463.515
INFO : 1 | Green        @ 1639473.5
INFO : 0 | Red          @ 1639473.5
INFO : 0 | Green        @ 1639483.484
INFO : 1 | Red          @ 1639483.5
INFO : 1 | Green        @ 1639493.375
INFO : 0 | Red          @ 1639493.484
INFO : 1 | Red          @ 1639503.515
INFO : 0 | Green        @ 1639503.515
INFO : 1 | Green        @ 1639513.484
INFO : 0 | Red          @ 1639513.5
INFO : 1 | Red          @ 1639523.484
INFO : 0 | Green        @ 1639523.5
INFO : 1 | Green        @ 1639533.484
INFO : 0 | Red          @ 1639533.5
INFO : 1 | Red          @ 1639543.515
INFO : 0 | Green        @ 1639543.515
INFO : 0 | Red          @ 1639553.5
INFO : 1 | Green        @ 1639553.5
INFO : 0 | Green        @ 1639563.5
INFO : 1 | Red          @ 1639563.5
INFO : 0 | Red          @ 1639573.5
INFO : 1 | Green        @ 1639573.5
INFO : 0 | Green        @ 1639583.453
INFO : 1 | Red          @ 1639583.531
INFO : 1 | Green        @ 1639593.5
INFO : 0 | Red          @ 1639593.515
INFO : 0 | Green        @ 1639603.5
INFO : 1 | Red          @ 1639603.5
INFO : 0 | Red          @ 1639613.5
INFO : 1 | Green        @ 1639613.5
INFO : 1 | Red          @ 1639623.5
INFO : 0 | Green        @ 1639623.531
INFO : 1 | Green        @ 1639633.5
INFO : 0 | Red          @ 1639633.5
INFO : 1 | Red          @ 1639643.5
INFO : 0 | Green        @ 1639643.5
INFO : 0 | Red          @ 1639653.5
INFO : 1 | Green        @ 1639653.5
INFO : 0 | Green        @ 1639663.5
INFO : 1 | Red          @ 1639663.531
INFO : 0 | Red          @ 1639673.5
INFO : 1 | Green        @ 1639673.5
INFO : 0 | Green        @ 1639683.5
INFO : 1 | Red          @ 1639683.5
INFO : 1 | Green        @ 1639693.515
INFO : 0 | Red          @ 1639693.515
INFO : 0 | Green        @ 1639703.5
INFO : 1 | Red          @ 1639703.531
INFO : 0 | Red          @ 1639713.5
INFO : 1 | Green        @ 1639713.5
INFO : 0 | Green        @ 1639723.5
INFO : 1 | Red          @ 1639723.5
INFO : 1 | Green        @ 1639733.515
INFO : 0 | Red          @ 1639733.531
INFO : 0 | Green        @ 1639743.5
INFO : 1 | Red          @ 1639743.5
INFO : 0 | Red          @ 1639753.359
INFO : 1 | Green        @ 1639753.5
INFO : 1 | Red          @ 1639763.5
INFO : 0 | Green        @ 1639763.5
INFO : 1 | Green        @ 1639773.515
INFO : 0 | Red          @ 1639773.515
INFO : 0 | Green        @ 1639783.5
INFO : 1 | Red          @ 1639783.515
INFO : 0 | Red          @ 1639793.5
INFO : 1 | Green        @ 1639793.5
INFO : 0 | Green        @ 1639803.5
INFO : 1 | Red          @ 1639803.5
INFO : 1 | Green        @ 1639813.531
INFO : 0 | Red          @ 1639813.531
INFO : 1 | Red          @ 1639823.5
INFO : 0 | Green        @ 1639823.5
INFO : 0 | Red          @ 1639833.5
INFO : 1 | Green        @ 1639833.5
INFO : 1 | Red          @ 1639843.5
INFO : 0 | Green        @ 1639843.5
INFO : 1 | Green        @ 1639853.531
INFO : 0 | Red          @ 1639853.531
INFO : 1 | Red          @ 1639863.5
INFO : 0 | Green        @ 1639863.5
INFO : 0 | Red          @ 1639873.5
INFO : 1 | Green        @ 1639873.5
INFO : 1 | Red          @ 1639883.5
INFO : 0 | Green        @ 1639883.5
INFO : 1 | Green        @ 1639893.5
INFO : 0 | Red          @ 1639893.5
INFO : 0 | Green        @ 1639903.5
INFO : 1 | Red          @ 1639903.515
INFO : 0 | Red          @ 1639913.5
INFO : 1 | Green        @ 1639913.546
INFO : 1 | Red          @ 1639923.515
INFO : 0 | Green        @ 1639923.515
INFO : 0 | Red          @ 1639933.531
INFO : 1 | Green        @ 1639933.531
INFO : 0 | Green        @ 1639943.5
INFO : 1 | Red          @ 1639943.5
INFO : 0 | Red          @ 1639953.5
INFO : 1 | Green        @ 1639953.5
INFO : 1 | Red          @ 1639963.515
INFO : 0 | Green        @ 1639963.515
INFO : 0 | Red          @ 1639973.5
INFO : 1 | Green        @ 1639973.5
INFO : 0 | Green        @ 1639983.359
INFO : 1 | Red          @ 1639983.5
INFO : 0 | Red          @ 1639993.5
INFO : 1 | Green        @ 1639993.5
INFO : 0 | Green        @ 1640003.515
INFO : 1 | Red          @ 1640003.515
INFO : 0 | Red          @ 1640013.5
INFO : 1 | Green        @ 1640013.5
INFO : 0 | Green        @ 1640023.5
INFO : 1 | Red          @ 1640023.5
INFO : 0 | Red          @ 1640033.5
INFO : 1 | Green        @ 1640033.5
INFO : 0 | Green        @ 1640043.515
INFO : 1 | Red          @ 1640043.515
INFO : 0 | Red          @ 1640053.5
INFO : 1 | Green        @ 1640053.5
INFO : 0 | Green        @ 1640063.484
INFO : 1 | Red          @ 1640063.5
INFO : 0 | Red          @ 1640073.5
INFO : 1 | Green        @ 1640073.5
INFO : 0 | Green        @ 1640083.531
INFO : 1 | Red          @ 1640083.531
INFO : 0 | Red          @ 1640093.5
INFO : 1 | Green        @ 1640093.5
INFO : 0 | Green        @ 1640103.484
INFO : 1 | Red          @ 1640103.5
INFO : 0 | Red          @ 1640113.5
INFO : 1 | Green        @ 1640113.5
INFO : 0 | Green        @ 1640123.5
INFO : 1 | Red          @ 1640123.531
INFO : 0 | Red          @ 1640133.5
INFO : 1 | Green        @ 1640133.515
INFO : 0 | Green        @ 1640143.5
INFO : 1 | Red          @ 1640143.5
INFO : 0 | Red          @ 1640153.515
INFO : 1 | Green        @ 1640153.531
INFO : 0 | Green        @ 1640163.5
INFO : 1 | Red          @ 1640163.531
INFO : 0 | Red          @ 1640173.5
INFO : 1 | Green        @ 1640173.5
INFO : 0 | Green        @ 1640183.5
INFO : 1 | Red          @ 1640183.5
INFO : 1 | Green        @ 1640193.515
INFO : 0 | Red          @ 1640193.515
INFO : 0 | Green        @ 1640203.5
INFO : 1 | Red          @ 1640203.5
INFO : 0 | Red          @ 1640213.359
INFO : 1 | Green        @ 1640213.5
INFO : 0 | Green        @ 1640223.5
INFO : 1 | Red          @ 1640223.515
INFO : 1 | Green        @ 1640233.343
INFO : 1 | Red          @ 1640233.421
INFO : 1 | Green        @ 1640233.515
INFO : 0 | Red          @ 1640233.515
INFO : 0 | Green        @ 1640243.5
INFO : 1 | Red          @ 1640243.546
INFO : 0 | Red          @ 1640253.5
INFO : 1 | Green        @ 1640253.5
INFO : 0 | Green        @ 1640263.5
INFO : 1 | Red          @ 1640263.5
INFO : 1 | Green        @ 1640273.515
INFO : 0 | Red          @ 1640273.531
INFO : 0 | Green        @ 1640283.5
INFO : 1 | Red          @ 1640283.515
INFO : 0 | Red          @ 1640293.5
INFO : 1 | Green        @ 1640293.515
INFO : 0 | Green        @ 1640303.5
INFO : 1 | Red          @ 1640303.531
INFO : 1 | Green        @ 1640313.531
INFO : 0 | Red          @ 1640313.531
INFO : 0 | Green        @ 1640323.5
INFO : 1 | Red          @ 1640323.5
INFO : 0 | Red          @ 1640333.5
INFO : 1 | Green        @ 1640333.5
INFO : 0 | Green        @ 1640343.5
INFO : 1 | Red          @ 1640343.5
INFO : 0 | Red          @ 1640353.5
INFO : 1 | Green        @ 1640353.531
INFO : 0 | Green        @ 1640363.5
INFO : 1 | Red          @ 1640363.515
INFO : 0 | Red          @ 1640373.5
INFO : 1 | Green        @ 1640373.5
INFO : 1 | Red          @ 1640383.515
INFO : 0 | Green        @ 1640383.515
INFO : 1 | Green        @ 1640393.531
INFO : 0 | Red          @ 1640393.546
INFO : 0 | Green        @ 1640403.5
INFO : 1 | Red          @ 1640403.515
INFO : 0 | Red          @ 1640413.5
INFO : 1 | Green        @ 1640413.515
INFO : 0 | Green        @ 1640423.515
INFO : 1 | Red          @ 1640423.515
INFO : 0 | Red          @ 1640433.5
INFO : 1 | Green        @ 1640433.5
INFO : 0 | Green        @ 1640443.5
INFO : 1 | Red          @ 1640443.5
INFO : 0 | Red          @ 1640453.5
INFO : 1 | Green        @ 1640453.515
INFO : 1 | Red          @ 1640463.515
INFO : 0 | Green        @ 1640463.531
INFO : 0 | Red          @ 1640473.5
INFO : 1 | Green        @ 1640473.546
INFO : 0 | Green        @ 1640483.5
INFO : 1 | Red          @ 1640483.515
INFO : 0 | Red          @ 1640493.5
INFO : 1 | Green        @ 1640493.515
INFO : 1 | Red          @ 1640503.531
INFO : 0 | Green        @ 1640503.531
INFO : 0 | Red          @ 1640513.5
INFO : 1 | Green        @ 1640513.515
INFO : 0 | Green        @ 1640523.5
INFO : 1 | Red          @ 1640523.515
INFO : 0 | Red          @ 1640533.5
INFO : 1 | Green        @ 1640533.515
INFO : 1 | Red          @ 1640543.531
INFO : 0 | Green        @ 1640543.531
INFO : 0 | Red          @ 1640553.5
INFO : 1 | Green        @ 1640553.515
INFO : 0 | Green        @ 1640563.5
INFO : 1 | Red          @ 1640563.515
INFO : 0 | Red          @ 1640573.5
INFO : 1 | Green        @ 1640573.515
INFO : 0 | Green        @ 1640583.5
INFO : 1 | Red          @ 1640583.546
INFO : 0 | Red          @ 1640593.5
INFO : 1 | Green        @ 1640593.515
INFO : 0 | Green        @ 1640603.5
INFO : 1 | Red          @ 1640603.515
INFO : 0 | Red          @ 1640613.515
INFO : 1 | Green        @ 1640613.531
INFO : 1 | Red          @ 1640623.531
INFO : 0 | Green        @ 1640623.546
INFO : 0 | Red          @ 1640633.5
INFO : 1 | Green        @ 1640633.515
INFO : 0 | Green        @ 1640643.5
INFO : 1 | Red          @ 1640643.515
INFO : 1 | Green        @ 1640653.515
INFO : 0 | Red          @ 1640653.515
INFO : 0 | Green        @ 1640663.5
INFO : 1 | Red          @ 1640663.546
INFO : 0 | Red          @ 1640673.484
INFO : 1 | Green        @ 1640673.515
INFO : 0 | Green        @ 1640683.5
INFO : 1 | Red          @ 1640683.515
INFO : 0 | Red          @ 1640693.515
INFO : 1 | Green        @ 1640693.515
INFO : 1 | Red          @ 1640703.375
INFO : 0 | Green        @ 1640703.5
INFO : 0 | Red          @ 1640713.5
INFO : 1 | Green        @ 1640713.515
INFO : 0 | Green        @ 1640723.5
INFO : 1 | Red          @ 1640723.515
INFO : 1 | Green        @ 1640733.515
INFO : 0 | Red          @ 1640733.531
INFO : 0 | Green        @ 1640743.5
INFO : 1 | Red          @ 1640743.562
INFO : 1 | Green        @ 1640753.531
INFO : 0 | Red          @ 1640753.546
INFO : 0 | Green        @ 1640763.5
INFO : 1 | Red          @ 1640763.515
INFO : 0 | Red          @ 1640773.531
INFO : 1 | Green        @ 1640773.562
INFO : 0 | Green        @ 1640783.5
INFO : 1 | Red          @ 1640783.515
INFO : 0 | Red          @ 1640793.5
INFO : 1 | Green        @ 1640793.515
INFO : 0 | Green        @ 1640803.5
INFO : 1 | Red          @ 1640803.515
INFO : 1 | Green        @ 1640813.531
INFO : 0 | Red          @ 1640813.531
INFO : 0 | Green        @ 1640823.5
INFO : 1 | Red          @ 1640823.562
INFO : 0 | Red          @ 1640833.5
INFO : 1 | Green        @ 1640833.546
INFO : 0 | Green        @ 1640843.515
INFO : 1 | Red          @ 1640843.531
INFO : 0 | Red          @ 1640853.5
INFO : 1 | Green        @ 1640853.546
INFO : 0 | Green        @ 1640863.5
INFO : 1 | Red          @ 1640863.515
INFO : 0 | Red          @ 1640873.5
INFO : 1 | Green        @ 1640873.515
INFO : 1 | Red          @ 1640883.421
INFO : 0 | Green        @ 1640883.515
INFO : 1 | Green        @ 1640893.546
INFO : 0 | Red          @ 1640893.546
INFO : 0 | Green        @ 1640903.5
INFO : 1 | Red          @ 1640903.515
INFO : 0 | Red          @ 1640913.5
INFO : 1 | Green        @ 1640913.515
INFO : 1 | Red          @ 1640923.515
INFO : 0 | Green        @ 1640923.515
INFO : 0 | Red          @ 1640933.5
INFO : 1 | Green        @ 1640933.546
INFO : 0 | Green        @ 1640943.5
INFO : 1 | Red          @ 1640943.531
INFO : 0 | Red          @ 1640953.5
INFO : 1 | Green        @ 1640953.531
INFO : 1 | Red          @ 1640963.515
INFO : 0 | Green        @ 1640963.531
INFO : 0 | Red          @ 1640973.5
INFO : 1 | Green        @ 1640973.546
INFO : 0 | Green        @ 1640983.484
INFO : 1 | Red          @ 1640983.531
INFO : 0 | Red          @ 1640993.5
INFO : 1 | Green        @ 1640993.531
INFO : 1 | Red          @ 1641003.531
INFO : 0 | Green        @ 1641003.531
INFO : 0 | Red          @ 1641013.5
INFO : 1 | Green        @ 1641013.515
INFO : 0 | Green        @ 1641023.5
INFO : 1 | Red          @ 1641023.515
INFO : 0 | Red          @ 1641033.5
INFO : 1 | Green        @ 1641033.515
INFO : 0 | Green        @ 1641043.5
INFO : 1 | Red          @ 1641043.531
INFO : 0 | Red          @ 1641053.5
INFO : 1 | Green        @ 1641053.515
INFO : 0 | Green        @ 1641063.5
INFO : 1 | Red          @ 1641063.531
INFO : 0 | Red          @ 1641073.515
INFO : 1 | Green        @ 1641073.531
INFO : 0 | Green        @ 1641083.5
INFO : 1 | Red          @ 1641083.546
INFO : 0 | Red          @ 1641093.5
INFO : 1 | Green        @ 1641093.531
INFO : 0 | Green        @ 1641103.5
INFO : 1 | Red          @ 1641103.531
INFO : 0 | Red          @ 1641113.515
INFO : 1 | Green        @ 1641113.531
INFO : 0 | Green        @ 1641123.546
INFO : 1 | Red          @ 1641123.546
INFO : 0 | Red          @ 1641133.5
INFO : 1 | Green        @ 1641133.515
INFO : 0 | Green        @ 1641143.5
INFO : 1 | Red          @ 1641143.531
INFO : 0 | Red          @ 1641153.515
INFO : 1 | Green        @ 1641153.531
INFO : 0 | Green        @ 1641163.5
INFO : 1 | Red          @ 1641163.562
INFO : 0 | Red          @ 1641173.5
INFO : 1 | Green        @ 1641173.531
INFO : 0 | Green        @ 1641183.5
INFO : 1 | Red          @ 1641183.531
INFO : 0 | Red          @ 1641193.515
INFO : 1 | Green        @ 1641193.531
INFO : 0 | Green        @ 1641203.5
INFO : 1 | Red          @ 1641203.562
