offset,rate,delay
-0.02959,1.0018503865509647,0.091213
-0.15565,1.0160028551613856,0.32216
-0.15565,1.0160028551613856,0.32216
-0.01385,0.9821970915710493,0.05941
-0.07452,1.0230018148537636,0.170883
-0.06034,0.9967355181464997,0.165393
-0.01687,0.9810519373527309,0.056675
-0.01687,0.9810519373527309,0.056675
-0.01934,1.001265604751944,0.090059
-0.37706,1.1391086443698601,0.790113
0.10158,0.8904466844919139,0.413925
-0.0565,1.0063929690570548,0.163354
-0.0187,0.9918698878191151,0.154415
-0.00127,0.991403304826126,0.100708
-0.02034,1.0063434817892014,0.127296
-0.02034,1.0063434817892014,0.127296
-0.0635,1.0038546830455406,0.157525
-0.07078,1.003004003189858,0.173979
-0.07509,1.0010252343863626,0.17594
-0.07509,1.0010252343863626,0.17594
-0.00477,0.9926545516702624,0.092978
-0.16399,1.0593822710789187,0.378024
-0.00104,0.9441481279081813,0.09995
-0.10673,1.0341190814527037,0.234267
-0.03554,0.9696193701407506,0.059315
-0.02113,0.9968613616627443,0.056162
-0.02113,0.9968613616627443,0.056162
-0.18083,1.0226427824257394,0.420616
-0.18083,1.0226427824257394,0.420616
-0.17786,0.9992398636660469,0.403006
-0.02662,0.9407754286343926,0.066958
-0.02662,0.9407754286343926,0.066958
-0.02662,0.9407754286343926,0.066958
-0.02662,0.9407754286343926,0.066958
-0.02662,0.9407754286343926,0.066958
-0.0078,0.9997267202151938,0.079684
-0.04026,1.0101531920195979,0.11796
-0.02152,0.9897268479616959,0.049379
-0.11405,1.0392506009143465,0.263308
-0.37419,1.0966707785368908,0.759478
-0.08707,0.9004734362043644,0.186101
-0.08707,0.9004734362043644,0.186101
-0.01073,0.9926946191861392,0.116029
0.03764,0.9975658991347118,0.187421
-0.01289,0.9974588721737303,0.060577
-0.00268,1.0016759485556241,0.098005
-0.01017,0.9987498125783691,0.07035
-0.00919,1.0008512546775024,0.080986
-0.01962,1.004412124840492,0.104647
-0.0222,1.0014270234460656,0.114424
-0.02333,1.0002669049482111,0.114897
-0.0039,0.992397287332778,0.075943
-0.01197,1.0014220328668217,0.074198
-0.01892,1.0007147518210757,0.06755
-0.06934,1.0266928874230674,0.239395
-0.02179,0.9789877029879691,0.114735
-0.02179,0.9789877029879691,0.114735
-0.02179,0.9789877029879691,0.114735
-20.00113,4.900162138606068,8.9e-05
-4.98261,0.2499758217646473,8.8e-05
-5.00813,1.005123041745656,0.000108
-5.00813,1.005123041745656,0.000108
-5.00813,1.005123041745656,0.000108
-0.17997,0.8470410848726877,0.452188
-0.17997,0.8470410848726877,0.452188
-0.17997,0.8470410848726877,0.452188
-0.17997,0.8470410848726877,0.452188
-0.01241,0.9913295569429134,0.171324
-0.02671,0.9943316404629048,0.084666
-0.02671,0.9943316404629048,0.084666
-0.02671,0.9943316404629048,0.084666
-0.02287,0.9995315948905973,0.06883
-0.02287,0.9995315948905973,0.06883
-0.02287,0.9995315948905973,0.06883
-0.00803,0.9992106859806427,0.05882
-0.01041,1.000133465923222,0.055463
-0.05796,1.0205538142343042,0.168734
-0.0564,1.000231659669624,0.174299
0.00246,0.9894557249032638,0.18152
-0.0197,0.9900847778798514,0.036187
-0.01209,1.0002303918834239,0.053723
-0.00445,1.0006165194541772,0.075272
-0.00168,0.9987277601872212,0.067884
-0.00834,1.000307282381897,0.05764
-0.06244,1.023983374262585,0.192988
-0.00957,0.9767946656307233,0.058133
-0.03239,1.024880139309606,0.268533
-0.03239,1.024880139309606,0.268533
-0.00633,0.9915612161668668,0.063967
0.01014,1.0472298871672798,0.602791
0.01014,1.0472298871672798,0.602791
0.01014,1.0472298871672798,0.602791
0.01014,1.0472298871672798,0.602791
-0.08599,0.999588015988835,0.381258
-0.02541,0.9644247867043637,0.124014
-0.00324,0.9895650281561481,0.06155
-0.00778,1.0003749982211867,0.056218
-0.00653,1.001196202972236,0.070877
-0.00653,1.001196202972236,0.070877
-0.00369,1.0034950089608201,0.182441
-0.00369,1.0034950089608201,0.182441
-0.00369,1.0034950089608201,0.182441
-0.00369,1.0034950089608201,0.182441
-0.00542,0.9982893335452159,0.058692
-0.00251,0.9999987062932015,0.064518
-0.00992,1.001015670597462,0.059945
-0.00653,1.0011566662853535,0.07844
-0.08113,1.0270287777514322,0.203458
-0.08113,1.0270287777514322,0.203458
-0.03506,0.9937428633312071,0.105097
-0.1412,1.0418213088548887,0.320421
-0.03354,0.9603252111825415,0.112874
-0.01124,0.989709412992225,0.052183
-0.01124,0.989709412992225,0.052183
-0.0014,0.9999535374583336,0.070494
0.00071,1.0000248958678426,0.075029
-0.0031,0.9996790486233766,0.064156
-0.00665,1.0016609110910124,0.073915
-0.07391,1.0390255177189174,0.340969
-0.07391,1.0390255177189174,0.340969
0.00667,0.9864323948414017,0.086668
-0.01337,1.0000145363141038,0.046764
-0.00422,0.9999875102483579,0.06492
-0.00487,1.000147896723674,0.065084
-0.05786,1.0302233600032065,0.268259
-0.05786,1.0302233600032065,0.268259
-0.01822,0.990396827608784,0.055465
