INFO : 0 | Red          @ 1378157.078
INFO : 1 | Green        @ 1378157.125
INFO : 1 | Red          @ 1378167.156
INFO : 0 | Green        @ 1378167.171
INFO : 0 | Red          @ 1378177.156
INFO : 1 | Green        @ 1378177.156
INFO : 0 | Green        @ 1378187.156
INFO : 1 | Red          @ 1378187.187
INFO : 1 | Green        @ 1378197.031
INFO : 0 | Red          @ 1378197.078
INFO : 0 | Green        @ 1378207.156
INFO : 1 | Red          @ 1378207.187
INFO : 0 | Red          @ 1378217.156
INFO : 1 | Green        @ 1378217.156
INFO : 0 | Green        @ 1378227.156
INFO : 1 | Red          @ 1378227.156
INFO : 0 | Red          @ 1378237.156
INFO : 1 | Green        @ 1378237.171
INFO : 0 | Green        @ 1378247.156
INFO : 1 | Red          @ 1378247.171
INFO : 0 | Red          @ 1378257.14
INFO : 1 | Green        @ 1378257.156
INFO : 0 | Green        @ 1378267.156
INFO : 1 | Red          @ 1378267.171
INFO : 0 | Red          @ 1378277.171
INFO : 1 | Green        @ 1378277.187
INFO : 0 | Green        @ 1378287.156
INFO : 1 | Red          @ 1378287.171
INFO : 0 | Red          @ 1378297.156
INFO : 1 | Green        @ 1378297.156
INFO : 0 | Green        @ 1378307.156
INFO : 1 | Red          @ 1378307.171
INFO : 0 | Red          @ 1378317.156
INFO : 1 | Green        @ 1378317.156
INFO : 0 | Green        @ 1378327.156
INFO : 1 | Red          @ 1378327.156
INFO : 0 | Red          @ 1378337.156
INFO : 1 | Green        @ 1378337.171
INFO : 1 | Red          @ 1378347.171
INFO : 0 | Green        @ 1378347.187
INFO : 1 | Green        @ 1378357.203
INFO : 0 | Red          @ 1378357.25
INFO : 0 | Green        @ 1378367.156
INFO : 1 | Red          @ 1378367.171
INFO : 0 | Red          @ 1378377.156
INFO : 1 | Green        @ 1378377.156
INFO : 1 | Red          @ 1378387.156
INFO : 0 | Green        @ 1378387.187
INFO : 1 | Green        @ 1378397.187
INFO : 0 | Red          @ 1378397.312
INFO : 0 | Green        @ 1378407.078
INFO : 1 | Red          @ 1378407.125
INFO : 0 | Red          @ 1378417.156
INFO : 1 | Green        @ 1378417.171
INFO : 0 | Green        @ 1378427.093
INFO : 1 | Red          @ 1378427.14
INFO : 1 | Green        @ 1378437.328
INFO : 0 | Red          @ 1378437.359
INFO : 1 | Red          @ 1378447.156
INFO : 0 | Green        @ 1378447.656
INFO : 1 | Green        @ 1378457.156
INFO : 0 | Red          @ 1378457.937
INFO : 1 | Red          @ 1378467.312
INFO : 0 | Green        @ 1378468.218
INFO : 0 | Red          @ 1378477.156
INFO : 1 | Green        @ 1378477.421
INFO : 0 | Green        @ 1378487.14
INFO : 1 | Red          @ 1378487.703
INFO : 0 | Red          @ 1378497.109
INFO : 1 | Green        @ 1378497.156
INFO : 1 | Red          @ 1378506.875
INFO : 0 | Green        @ 1378507.156
INFO : 0 | Red          @ 1378517.14
INFO : 1 | Green        @ 1378517.218
INFO : 0 | Green        @ 1378527.156
INFO : 1 | Red          @ 1378527.171
INFO : 0 | Red          @ 1378537.156
INFO : 1 | Green        @ 1378537.171
INFO : 1 | Red          @ 1378547.156
INFO : 0 | Green        @ 1378547.187
INFO : 0 | Red          @ 1378556.984
INFO : 0 | Green        @ 1378557.0
INFO : 1 | Green        @ 1378557.078
INFO : 0 | Red          @ 1378557.156
INFO : 0 | Green        @ 1378567.156
INFO : 1 | Red          @ 1378567.171
INFO : 1 | Green        @ 1378577.171
INFO : 0 | Red          @ 1378577.218
INFO : 0 | Green        @ 1378587.156
INFO : 1 | Red          @ 1378587.171
INFO : 1 | Green        @ 1378597.187
INFO : 0 | Red          @ 1378597.187
INFO : 1 | Red          @ 1378607.156
INFO : 0 | Green        @ 1378607.171
INFO : 0 | Red          @ 1378617.171
INFO : 1 | Green        @ 1378617.187
INFO : 0 | Green        @ 1378627.14
INFO : 1 | Red          @ 1378627.171
INFO : 0 | Red          @ 1378637.109
INFO : 1 | Green        @ 1378637.125
INFO : 1 | Red          @ 1378647.156
INFO : 0 | Green        @ 1378647.171
INFO : 1 | Green        @ 1378657.171
INFO : 0 | Red          @ 1378657.171
