timestamps
22248.301808666
22258.306200916
22258.3093775
22268.296526541
22268.301382875
22278.293481458
22278.299820041
22288.285581041
22288.292906541
22298.277641416
22298.294365375
22308.269707625
22308.298996041
22318.261789875
22318.296021708
22328.253853166
22328.306606875
22338.24589875
22338.306511166
22348.237984708
22348.295926791
22358.23004975
22358.305398166
22368.222113291
22368.306318208
22378.214185833
22378.307126625
22388.206245791
22388.292678375
22398.198309625
22398.305390375
22408.190396916
22408.303201958
22418.182482416
22418.29705575
22428.174556958
22428.304541875
22438.16663125
22438.300087375
