offset,rate,delay
-0.08505,96599.48424912749,0.10446
-0.08665,0.9887760954341013,0.103675
-0.07851,1.0011220441876976,0.116318
-0.0883,0.9984164269833463,0.112064
-0.09436,0.999144410037621,0.106306
-0.09396,1.0002746347553255,0.106355
-0.09493,1.0001436581726457,0.106402
-0.17512,0.9962299335677133,0.186398
-0.12029,0.9940690935382318,0.077609
-0.10971,1.005112723482264,0.091946
-0.15123,1.000500997902972,0.170216
-0.10449,0.9959470637369653,0.106428
-0.09835,1.001544087934426,0.108536
-0.09414,1.001073483560702,0.107953
-0.09284,1.0008916826877778,0.106858
-0.0928,1.0008899476504942,0.10652
-0.09388,1.0008080240435708,0.10673
-0.09144,1.0009603164020624,0.10617
-0.09467,1.0006175597785412,0.10647
-0.09445,1.000765719671811,0.106486
-0.09209,1.000866727329841,0.106398
-0.09233,1.0006679752809915,0.105144
-0.11975,0.9989898010172705,0.100992
-0.09924,1.0026455374595744,0.10501
-0.0893,1.001366799412351,0.10008
-0.08011,1.001972182653992,0.111746
-0.08078,0.999787681672593,0.10924
-0.07911,1.0002379838207713,0.103666
-0.07911,1.0008468169878408,0.107259
-0.19448,0.9932920896421513,0.220354
-0.0865,0.9931270089204749,0.094654
-0.07388,1.0032291109637648,0.105264
-0.07296,1.0010364766644042,0.105466
-0.0713,1.0010294492013752,0.105302
-0.06634,1.0012406293066096,0.10543
-0.08345,1.0000637431844022,0.190911
-0.00992,0.9950162086822283,0.161052
-0.05914,0.9908716262264988,0.109434
-0.05497,1.0010478449312283,0.107071
-0.05295,1.0012067792888881,0.112142
-0.05389,1.0003294719348461,0.109602
-0.05441,1.0006549341938558,0.104051
-0.05225,1.0015317820901786,0.105661
-0.05099,1.0012348521793777,0.105664
-0.04818,1.00130946432014,0.105552
-0.04823,1.0011127136221512,0.105692
-0.04894,1.0010331926039069,0.107712
-0.04982,1.0007348181301856,0.105692
-0.07879,0.9991286700364045,0.103178
-0.12049,0.998733741643006,0.155328
-0.05353,0.9990054663890419,0.106436
-0.04793,1.0013646638951537,0.105283
-0.03893,1.0017164561284115,0.104648
-0.03276,1.0016051326345283,0.1099
-0.03417,1.0003951397368605,0.104256
-0.03716,1.001026720649126,0.111279
-0.03723,1.0002750278908772,0.103823
-0.03489,1.0013935988389102,0.105812
-0.03344,1.0010574313434684,0.105797
-0.03326,1.0009609708362046,0.105998
-0.03229,1.000970174001469,0.105778
-0.05297,0.9995325683476369,0.090581
-0.03944,1.0037863185526459,0.117213
-0.03769,0.9994911131391453,0.10158
-0.03477,1.00161843280953,0.112301
-0.03347,1.0000948099952085,0.107447
-0.02821,1.0009819495412142,0.107696
-0.03189,1.0003563364343684,0.108857
-0.03427,1.0002772767501527,0.105856
-0.03362,1.0008583579498689,0.105976
-0.03057,1.0009848418652165,0.103953
-0.02563,1.0013587838494262,0.103413
-0.02506,1.0011372130619374,0.108556
-0.02313,1.0005411032771143,0.105962
