offset,rate,delay
-0.04307,1.0005562125253769,0.093115
-0.03791,1.0026687220870714,0.093062
-0.04044,1.001110477056642,0.095658
-0.04054,1.0005123007743026,0.095737
-0.03824,1.0007686686181452,0.09303
-0.03891,1.0012627565267316,0.097211
-0.04369,0.9987227583907357,0.092292
-0.04051,1.001958638886143,0.09086
-0.04088,1.001820567751542,0.095551
-0.04322,0.9995715262801015,0.093159
-0.043,1.0009183267256754,0.093231
-0.04062,1.00118750672467,0.090614
-0.04062,1.0017476161321273,0.095633
-0.0403,0.9997916213982033,0.090754
-0.04068,1.0015429722074254,0.095741
-0.04324,0.9991803648855304,0.093182
-0.04323,1.0006233118065928,0.093226
-0.04303,1.0006145166195368,0.093218
-0.04312,1.0005343682225032,0.093133
-0.04293,1.0005975360610186,0.093188
-0.04041,1.0009631804665233,0.090695
-0.04069,1.001402428474028,0.095729
-0.0431,0.9990479727007471,0.09322
-0.0407,1.0008762476480013,0.09068
-0.03846,1.0018075123776915,0.09317
-0.04099,0.9999556052533571,0.095728
-0.04095,0.9994233220719386,0.090619
-0.03842,1.0018459536397344,0.093222
-0.04097,0.99989117012987,0.095712
-0.04347,0.9989392275852998,0.093166
-0.04107,1.0008109224120396,0.090657
-0.04104,1.0013377133649375,0.095741
-0.04347,0.9989095536945765,0.093158
-0.04354,1.0003400051138338,0.093248
-0.04335,1.00034620661354,0.093156
-0.04366,1.0002793219820718,0.093223
-0.04079,1.000828415241197,0.090584
-0.04106,1.0012575314667953,0.095786
-0.0436,0.998821020616322,0.093151
-0.04369,1.0002921550829642,0.093187
-0.04366,1.0002966340071044,0.093241
-0.04375,1.0002453169028809,0.093168
-0.04341,1.000348239195137,0.09323
-0.04368,1.0002047735807507,0.093168
-0.04371,1.000266780739692,0.09318
-0.0436,1.0002838571564232,0.093116
-0.0434,1.000320786276741,0.093282
-0.04378,1.0001411643308529,0.093146
-0.04378,1.0002632437755072,0.093252
-0.04369,1.0002343884757134,0.093178
-0.04392,1.0001960860709571,0.093238
-0.04375,1.0002449444493378,0.093056
-0.04368,1.0002927321210597,0.09329
-0.04377,1.0001680047729749,0.093186
-0.0439,1.000197442439165,0.093236
0.00835,1.0105378847389133,0.145451
-0.04395,0.9710924941762225,0.093206
-0.04352,1.0006086586169316,0.093195
-0.04288,1.000644507241718,0.093204
-0.04393,1.000308385395365,0.093115
-0.04349,1.0006226586469233,0.093298
-0.04376,1.0004076429624502,0.093196
-0.04369,1.000503217662594,0.093214
-0.04412,1.0003958181376358,0.093117
-0.04133,1.001024941515445,0.090654
-0.04151,1.0014107059226167,0.095696
-0.04408,0.9990153257409353,0.093252
-0.04399,1.000452214725953,0.093137
-0.04388,1.0004933318776783,0.09319
-0.0442,1.0003846956873017,0.093302
-0.04417,1.000403565932975,0.09318
-0.03917,1.0013838655991016,0.090616
-0.04169,1.000932986222841,0.095787
-0.04175,0.999406647232558,0.090642
-0.04169,1.0014063969939988,0.095706
-0.04438,0.9989365287687385,0.093326
-0.04415,1.0004003908654788,0.093086
-0.04409,1.0004554889246786,0.093206
-0.04154,1.0008684906025753,0.09068
-0.04169,1.0013271955573293,0.095696
-0.04152,0.999452470145801,0.090669
-0.03912,1.0017999445917596,0.093289
-0.04182,0.9998259452897229,0.095742
-0.04335,0.9991065497894107,0.093179
-0.04164,1.0006928006322322,0.090563
0.01065,1.011620628001357,0.148032
-0.0441,0.9697321847247018,0.093128
-0.0445,1.0005240081863702,0.09316
-0.04418,1.0006438461893619,0.093216
-0.04189,1.0009824411956165,0.090598
-0.04206,1.0015203842017264,0.095781
-0.04434,0.999125017666186,0.093063
-0.04165,1.0011004420708463,0.090758
-0.04197,1.0014143329006084,0.095795
-0.04288,0.9993588344285529,0.091695
-0.0431,1.0010627355953634,0.094612
-0.04429,0.9997526829243032,0.093197
-0.04446,1.0004860401709519,0.093144
-0.04526,1.000381496701909,0.094046
-0.04354,1.0005065708184642,0.09062
-0.03714,1.0027190912498118,0.095691
-0.04614,0.997825863893465,0.093174
-0.04599,1.0005336000164073,0.093194
-0.04355,1.0009509245518937,0.090664
-0.04097,1.001943173768068,0.093186
-0.04351,0.9999997839402585,0.095624
-0.04621,0.9990332955182567,0.093612
-0.04616,1.0003241263632627,0.092768
-0.04553,1.0007552086608573,0.093208
-0.04321,1.000896697558258,0.090576
-0.04348,1.0014132189424307,0.095796
-0.04565,0.9990464428264871,0.09304
-0.04581,1.0004830884902909,0.093218
-0.0455,1.000500880950867,0.093146
-0.04568,1.0004296940609327,0.093146
-0.09727,0.9907476339822057,0.145052
-0.04488,0.990953335100878,0.093178
-0.04467,1.0006445554933556,0.093166
-0.04465,1.000606922151411,0.093229
-0.04457,1.000590868332037,0.093168
-0.04489,1.0005315203624736,0.093262
-0.04501,1.0005306975179833,0.093196
-0.04502,1.0005710262498138,0.093151
-0.0449,1.0006093119852193,0.093237
