offset,rate,delay
-0.01543,0.9964928698249327,0.098147
-0.01549,1.0022308826983595,0.103434
-0.02097,0.9984508728449691,0.092672
-0.01308,1.0050652507400406,0.100762
-0.02329,0.9981808540160356,0.095388
-0.02618,1.0012802569284551,0.092808
-0.02628,1.0025218537290226,0.092824
-0.02621,1.002318233898964,0.092822
-0.02597,1.00216002338845,0.092824
-0.02616,1.0019125741846115,0.092805
-0.02582,1.0018837485969794,0.092818
-0.02361,1.0020506205101152,0.090321
-0.07592,0.9937726747050327,0.14763
-0.02624,0.991374571694149,0.092854
-0.02659,1.002444269543665,0.092898
-0.02671,1.0023387025122361,0.092844
-0.02648,1.0023092846186357,0.092844
-0.02661,1.0021278108118097,0.092732
-0.02739,1.0019366242989698,0.092108
-0.02462,1.0027164628456213,0.089796
-0.02414,1.003126620677814,0.095341
-0.14815,0.9789609323806374,0.213422
0.00788,0.9882541353484924,0.127618
-0.02522,0.984371283912469,0.089467
-0.02484,1.0050746584901527,0.094814
-0.02508,1.0027320419448011,0.089806
-0.02494,1.0046371858417409,0.094715
-0.02795,1.0020249212694117,0.09202
-0.02773,1.0035694374312425,0.092392
-0.0277,1.0032841731652489,0.092139
-0.02491,1.0037833440959094,0.0898
-0.02549,1.0039729026495063,0.094548
-0.0276,1.001766708660747,0.09222
-0.02793,1.0029211305754229,0.092416
-0.02553,1.0032633409947245,0.089606
-0.02503,1.003931752971128,0.094652
-0.02843,1.001172458561222,0.09204
-0.02772,1.0028990340988724,0.092617
-0.02551,1.0028780126784953,0.08986
-0.02315,1.0039061756037082,0.092164
-0.0258,1.0020240839438777,0.094614
-0.02574,1.001527132906542,0.089906
-0.0256,1.0033157205100365,0.094571
-0.02818,1.0009544615963923,0.092228
-0.02598,1.0026975552054933,0.08951
-0.02578,1.003333096460816,0.094904
-0.02582,1.0011530706511722,0.089722
-0.02589,1.003111352362781,0.094694
-0.02869,1.000639229401328,0.09217
-0.02765,1.0023077076888385,0.092966
-0.02797,1.0017065675318264,0.092782
-0.02549,1.002257940188284,0.089869
-0.02608,1.0027710455551124,0.094708
-0.02847,1.000536559493204,0.092366
-0.02199,1.0031535910018634,0.099032
-0.02758,0.9982529099662257,0.092812
-0.02849,1.0014976168188106,0.092346
-0.02687,1.0021290108986196,0.092216
-0.02882,1.0014653763647374,0.092089
-0.02874,1.0018715724238927,0.092276
-0.02878,1.001751276362977,0.092284
-0.02899,1.001687853062186,0.092276
-0.02924,1.001655370300901,0.092144
-0.02897,1.001779842716718,0.091994
-0.02886,1.0017798961519886,0.092307
-0.02649,1.0020567723996994,0.089661
-0.02382,1.0031066727977254,0.09219
-0.02656,1.0010884263539261,0.094716
-0.0291,1.0001364214087343,0.091983
-0.02947,1.00157689747416,0.092038
-0.02673,1.0021185016659646,0.089778
-0.02673,1.0024528434985824,0.094858
-0.02915,1.000022984762061,0.092276
-0.02979,1.001330373104503,0.091862
-0.02939,1.0016726035904515,0.092388
-0.02921,1.0014077600259421,0.092192
-0.02907,1.0014582421818539,0.092212
-0.02935,1.0013532562579468,0.092334
-0.02938,1.001335568519382,0.092103
-0.02924,1.0014405475295374,0.09226
-0.02952,1.0012852675470314,0.092296
-0.02958,1.001297183908893,0.092214
-0.02886,1.0014650713777806,0.092875
-0.02959,1.0009187809807314,0.092298
-0.02953,1.0012775338822753,0.092249
-0.02971,1.0012352439158532,0.092346
-0.02989,1.0011824469678061,0.09206
0.02247,1.0115610407019007,0.1445
-0.02968,0.9720086970187387,0.092273
-0.02727,1.0018731114285717,0.089736
-0.02501,1.0028007179336,0.092034
-0.02734,1.00103428959698,0.09449
-0.03083,0.9998625677636449,0.093516
-0.02874,1.0012841516246913,0.091187
-0.03016,1.0014895169711076,0.092078
-0.03024,1.0013910197593583,0.092088
-0.02993,1.0014483793458453,0.092318
-0.02987,1.0013001619776871,0.092156
-0.0298,1.0013495437467816,0.092376
-0.03038,1.0011281316942455,0.09201
-0.02993,1.0014561546302592,0.092378
-0.03011,1.001178580128765,0.092316
-0.02817,1.001599491747586,0.092206
-0.02991,1.000922270949307,0.092056
-0.02947,1.00138926369252,0.092804
-0.02986,1.0009314047987345,0.092318
-0.02971,1.0012144805268979,0.092929
-0.03019,1.0008469093063874,0.092281
-0.03025,1.0011654506197896,0.09219
-0.14936,0.978803060400651,0.212909
-0.04662,0.9760888894495862,0.075908
-0.02839,1.0113256672478186,0.092342
-0.02987,1.0011746856047177,0.092772
-0.03054,1.0011516315200863,0.092044
-0.03044,1.0015662202263007,0.092285
-0.02784,1.0019330111211902,0.089766
-0.01331,1.0052352170919339,0.10396
-0.02589,0.9945909949869369,0.091733
-0.02882,1.0010905603503095,0.09399
-0.03187,1.0001872630869795,0.091216
-0.02985,1.0022033962995405,0.091048
-0.03189,1.0014782714886206,0.091022
-0.03216,1.0018109248174925,0.09084
-0.03207,1.0019330041900125,0.090971
-0.03205,1.0018561145809928,0.091034
-0.032,1.00182472911726,0.090912
-0.02954,1.002308793338978,0.088391
-0.02937,1.0028334715834117,0.093704
-0.02754,1.0010925419598926,0.088501
-0.02972,1.002314221541072,0.093555
-0.03232,1.0002821524929535,0.09077
-0.03239,1.001819513180307,0.090861
-0.03192,1.00187669500661,0.091036
-0.03173,1.001744036227528,0.091518
-0.0312,1.0016141643493401,0.092082
-0.03131,1.001265308329788,0.091777
-0.03143,1.0013719767761822,0.091926
-0.03147,1.0013192974432898,0.091898
-0.03104,1.001413359672546,0.092164
-0.03077,1.0012712535117765,0.092706
-0.03152,1.0008608215878925,0.092154
-0.03183,1.0011478763914872,0.09165
-0.03132,1.001489294938664,0.092218
-0.03154,1.0011231842528685,0.092078
-0.03115,1.0012856810200088,0.09217
-0.029,1.0015714564561422,0.089541
-0.02926,1.002118201017537,0.094272
-0.0315,0.9999176423578588,0.092235
-0.03156,1.0011063447324775,0.09202
-0.03152,1.0011999424601068,0.092078
-0.03153,1.0011616938718737,0.091984
-0.03167,1.001164925142604,0.092073
-0.03154,1.0011740183301685,0.09209
-0.02891,1.001634085235635,0.089536
-0.02926,1.0020414593599858,0.094432
-0.03169,0.9997593003504649,0.092076
-0.0318,1.0010969912442056,0.092008
-0.03072,1.001348355324681,0.092678
-0.03192,1.0006461893345033,0.09195
-0.03,1.0015153377138406,0.091758
-0.03196,1.0008381959052695,0.092092
-0.0318,1.0011107433916595,0.09188
0.02054,1.0112964422243034,0.144125
-0.03274,0.971631893048827,0.09106
-0.0295,1.0021879853036426,0.089559
-0.02975,1.002092671541251,0.094464
-0.03293,0.9996421138641634,0.09093
-0.02196,1.003722129445022,0.096912
-0.0295,0.9978757206619753,0.094608
-0.0322,0.9996747070705149,0.091968
-0.03077,1.001472264608708,0.092683
-0.02967,1.0011218966643451,0.089425
-0.0307,1.0019595116998812,0.093388
-0.03209,1.0003644145064763,0.092056
-0.03195,1.001162793510138,0.092076
-0.03231,1.001050936278605,0.091776
-0.04877,0.998110485489908,0.108156
0.00369,1.0050731232976844,0.127913
-0.03309,0.9807135308449645,0.091141
