INFO : 1 | Red          @ 39100.859
INFO : 0 | Green        @ 39100.921
INFO : 1 | Green        @ 39110.859
INFO : 0 | Red          @ 39110.89
INFO : 1 | Red          @ 39120.875
INFO : 0 | Green        @ 39120.89
INFO : 0 | Red          @ 39130.89
INFO : 1 | Green        @ 39130.906
INFO : 1 | Red          @ 39140.859
INFO : 0 | Green        @ 39140.921
INFO : 1 | Green        @ 39150.859
INFO : 0 | Red          @ 39150.89
INFO : 1 | Red          @ 39160.875
INFO : 0 | Green        @ 39160.89
INFO : 1 | Green        @ 39170.859
INFO : 0 | Red          @ 39170.906
INFO : 1 | Red          @ 39180.859
INFO : 0 | Green        @ 39180.921
INFO : 1 | Green        @ 39190.859
INFO : 0 | Red          @ 39190.89
INFO : 1 | Red          @ 39200.875
INFO : 0 | Green        @ 39200.89
INFO : 1 | Green        @ 39210.859
INFO : 0 | Red          @ 39210.906
INFO : 1 | Red          @ 39220.859
INFO : 0 | Green        @ 39220.89
INFO : 1 | Green        @ 39230.859
INFO : 0 | Red          @ 39230.89
INFO : 1 | Red          @ 39240.89
INFO : 0 | Green        @ 39240.89
INFO : 1 | Green        @ 39250.859
INFO : 0 | Red          @ 39250.921
INFO : 1 | Red          @ 39260.875
INFO : 0 | Green        @ 39260.89
INFO : 1 | Green        @ 39270.859
INFO : 0 | Red          @ 39270.89
INFO : 1 | Red          @ 39280.89
INFO : 0 | Green        @ 39280.89
INFO : 1 | Green        @ 39290.875
INFO : 0 | Red          @ 39290.921
INFO : 1 | Red          @ 39300.859
INFO : 0 | Green        @ 39300.906
INFO : 1 | Green        @ 39310.859
INFO : 0 | Red          @ 39311.015
INFO : 1 | Red          @ 39320.89
INFO : 0 | Green        @ 39320.906
INFO : 1 | Green        @ 39330.859
INFO : 0 | Red          @ 39330.921
INFO : 1 | Red          @ 39340.843
INFO : 0 | Green        @ 39340.906
INFO : 1 | Green        @ 39350.875
INFO : 0 | Red          @ 39350.921
INFO : 0 | Green        @ 39360.89
INFO : 1 | Red          @ 39360.906
INFO : 1 | Green        @ 39370.875
INFO : 0 | Red          @ 39370.921
INFO : 1 | Red          @ 39380.859
INFO : 0 | Green        @ 39380.89
INFO : 1 | Green        @ 39390.875
INFO : 0 | Red          @ 39390.89
INFO : 1 | Red          @ 39400.859
INFO : 0 | Green        @ 39400.906
INFO : 1 | Green        @ 39410.859
INFO : 0 | Red          @ 39410.937
INFO : 1 | Red          @ 39420.875
INFO : 0 | Green        @ 39420.906
INFO : 1 | Green        @ 39430.875
